disease_finding_id,disease_id,finding_id,presence,typicality,sensitivity_context,specificity_context,disease_stage,age_context,clinical_meaning,distinguishing_value,commonly_tested,step_levels,subject_exams,source_status,relationship_role
DNF-NEUR-C318250C6563,DIS-NEUR-056,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Cluster headache.,Elevated opening pressure is interpreted against the disease-specific mimics of Cluster headache.,condition-specific,condition-specific,"Short attacks of severe unilateral orbital or temporal pain with ipsilateral lacrimation, nasal congestion, and restlessness define a trigeminal autonomic cephalalgia. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Cluster headache when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-5B62AB5ED5FE,DIS-NEUR-056,FND-NEUR-MENINGISMUS,present,supportive,Timing and phenotype determine sensitivity of meningismus in Cluster headache.,Meningismus is interpreted against the disease-specific mimics of Cluster headache.,condition-specific,condition-specific,"Short attacks of severe unilateral orbital or temporal pain with ipsilateral lacrimation, nasal congestion, and restlessness define a trigeminal autonomic cephalalgia. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Cluster headache when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-9F7F906DFD49,DIS-NEUR-057,FND-NEUR-PAPILLEDEMA,present,classic,Timing and phenotype determine sensitivity of papilledema in Trigeminal neuralgia.,Papilledema is interpreted against the disease-specific mimics of Trigeminal neuralgia.,condition-specific,condition-specific,"Brief electric shock-like unilateral facial pain triggered by light touch, chewing, or brushing teeth follows a trigeminal distribution. Here, 'Papilledema' is interpreted as an explicit disease-level finding.",'Papilledema' helps distinguish Trigeminal neuralgia when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-8BF050BBEADD,DIS-NEUR-057,FND-NEUR-XANTHOCHROMIA,present,supportive,Timing and phenotype determine sensitivity of xanthochromia in Trigeminal neuralgia.,Xanthochromia is interpreted against the disease-specific mimics of Trigeminal neuralgia.,condition-specific,condition-specific,"Brief electric shock-like unilateral facial pain triggered by light touch, chewing, or brushing teeth follows a trigeminal distribution. Here, 'Xanthochromia' is interpreted as an explicit disease-level finding.",'Xanthochromia' helps distinguish Trigeminal neuralgia when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-AF7535DF148F,DIS-NEUR-057,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Trigeminal neuralgia.,Elevated opening pressure is interpreted against the disease-specific mimics of Trigeminal neuralgia.,condition-specific,condition-specific,"Brief electric shock-like unilateral facial pain triggered by light touch, chewing, or brushing teeth follows a trigeminal distribution. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Trigeminal neuralgia when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-64A15AD8802F,DIS-NEUR-057,FND-NEUR-MENINGISMUS,present,supportive,Timing and phenotype determine sensitivity of meningismus in Trigeminal neuralgia.,Meningismus is interpreted against the disease-specific mimics of Trigeminal neuralgia.,condition-specific,condition-specific,"Brief electric shock-like unilateral facial pain triggered by light touch, chewing, or brushing teeth follows a trigeminal distribution. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Trigeminal neuralgia when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-C80A7B8356B8,DIS-NEUR-058,FND-NEUR-NEUROFIBRILLARYTANGL,present,classic,Timing and phenotype determine sensitivity of neurofibrillary tangles in Idiopathic intracranial hypertension.,Neurofibrillary tangles is interpreted against the disease-specific mimics of Idiopathic intracranial hypertension.,condition-specific,condition-specific,Neurofibrillary tangles contributes a defined finding pattern to the explicit Idiopathic intracranial hypertension illness script.,The selected Neurofibrillary tangles pattern differentiates Idiopathic intracranial hypertension from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-D8E03B82D5E6,DIS-NEUR-058,FND-NEUR-LEWYBODIES,present,supportive,Timing and phenotype determine sensitivity of lewy bodies in Idiopathic intracranial hypertension.,Lewy bodies is interpreted against the disease-specific mimics of Idiopathic intracranial hypertension.,condition-specific,condition-specific,Lewy bodies contributes a defined finding pattern to the explicit Idiopathic intracranial hypertension illness script.,The selected Lewy bodies pattern differentiates Idiopathic intracranial hypertension from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-9CE68815696C,DIS-NEUR-058,FND-NEUR-VENTRICULOMEGALY,present,supportive,Timing and phenotype determine sensitivity of ventriculomegaly in Idiopathic intracranial hypertension.,Ventriculomegaly is interpreted against the disease-specific mimics of Idiopathic intracranial hypertension.,condition-specific,condition-specific,Ventriculomegaly contributes a defined finding pattern to the explicit Idiopathic intracranial hypertension illness script.,The selected Ventriculomegaly pattern differentiates Idiopathic intracranial hypertension from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-073C59AD6B4C,DIS-NEUR-058,FND-NEUR-9F0545F48A27,present,supportive,Timing and phenotype determine sensitivity of fluctuating attention in Idiopathic intracranial hypertension.,Fluctuating attention is interpreted against the disease-specific mimics of Idiopathic intracranial hypertension.,condition-specific,condition-specific,Fluctuating attention contributes a defined finding pattern to the explicit Idiopathic intracranial hypertension illness script.,The selected Fluctuating attention pattern differentiates Idiopathic intracranial hypertension from the competitors in its curation manifest.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,
DNF-NEUR-CE6E9E9F643B,DIS-NEUR-059,FND-NEUR-PAPILLEDEMA,present,classic,Timing and phenotype determine sensitivity of papilledema in Intracranial hypotension.,Papilledema is interpreted against the disease-specific mimics of Intracranial hypotension.,condition-specific,condition-specific,"Orthostatic headache that improves when supine after CSF loss is typical of spontaneous intracranial hypotension. Here, 'Papilledema' is interpreted as an explicit disease-level finding.",'Papilledema' helps distinguish Intracranial hypotension when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-DD91BB30DD71,DIS-NEUR-059,FND-NEUR-XANTHOCHROMIA,present,supportive,Timing and phenotype determine sensitivity of xanthochromia in Intracranial hypotension.,Xanthochromia is interpreted against the disease-specific mimics of Intracranial hypotension.,condition-specific,condition-specific,"Orthostatic headache that improves when supine after CSF loss is typical of spontaneous intracranial hypotension. Here, 'Xanthochromia' is interpreted as an explicit disease-level finding.",'Xanthochromia' helps distinguish Intracranial hypotension when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-F641D525B8F9,DIS-NEUR-059,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Intracranial hypotension.,Elevated opening pressure is interpreted against the disease-specific mimics of Intracranial hypotension.,condition-specific,condition-specific,"Orthostatic headache that improves when supine after CSF loss is typical of spontaneous intracranial hypotension. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Intracranial hypotension when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-87246D80BDA9,DIS-NEUR-059,FND-NEUR-MENINGISMUS,present,supportive,Timing and phenotype determine sensitivity of meningismus in Intracranial hypotension.,Meningismus is interpreted against the disease-specific mimics of Intracranial hypotension.,condition-specific,condition-specific,"Orthostatic headache that improves when supine after CSF loss is typical of spontaneous intracranial hypotension. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Intracranial hypotension when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-04A0F7E009CC,DIS-NEUR-061,FND-NEUR-PAPILLEDEMA,present,classic,Timing and phenotype determine sensitivity of papilledema in Post-dural-puncture headache.,Papilledema is interpreted against the disease-specific mimics of Post-dural-puncture headache.,condition-specific,condition-specific,"A positional headache after neuraxial puncture reflects persistent CSF leakage and may require epidural blood patch when conservative measures fail. Here, 'Papilledema' is interpreted as an explicit disease-level finding.",'Papilledema' helps distinguish Post-dural-puncture headache when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-0B889D8B0D83,DIS-NEUR-061,FND-NEUR-XANTHOCHROMIA,present,supportive,Timing and phenotype determine sensitivity of xanthochromia in Post-dural-puncture headache.,Xanthochromia is interpreted against the disease-specific mimics of Post-dural-puncture headache.,condition-specific,condition-specific,"A positional headache after neuraxial puncture reflects persistent CSF leakage and may require epidural blood patch when conservative measures fail. Here, 'Xanthochromia' is interpreted as an explicit disease-level finding.",'Xanthochromia' helps distinguish Post-dural-puncture headache when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-EEA3FB0D098F,DIS-NEUR-061,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Post-dural-puncture headache.,Elevated opening pressure is interpreted against the disease-specific mimics of Post-dural-puncture headache.,condition-specific,condition-specific,"A positional headache after neuraxial puncture reflects persistent CSF leakage and may require epidural blood patch when conservative measures fail. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Post-dural-puncture headache when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-F5CCAEC71755,DIS-NEUR-061,FND-NEUR-MENINGISMUS,present,supportive,Timing and phenotype determine sensitivity of meningismus in Post-dural-puncture headache.,Meningismus is interpreted against the disease-specific mimics of Post-dural-puncture headache.,condition-specific,condition-specific,"A positional headache after neuraxial puncture reflects persistent CSF leakage and may require epidural blood patch when conservative measures fail. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Post-dural-puncture headache when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-D0E64EFE49EF,DIS-NEUR-062,FND-NEUR-MENINGISMUS,present,classic,Timing and phenotype determine sensitivity of meningismus in Acute bacterial meningitis.,Meningismus is interpreted against the disease-specific mimics of Acute bacterial meningitis.,condition-specific,condition-specific,"Acute fever, meningismus, and altered mental status with neutrophilic CSF, high protein, and low glucose require immediate empiric antimicrobial therapy. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Acute bacterial meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-AE3AC6032360,DIS-NEUR-062,FND-NEUR-NEUTROPHILICCSF,present,supportive,Timing and phenotype determine sensitivity of neutrophilic csf in Acute bacterial meningitis.,Neutrophilic CSF is interpreted against the disease-specific mimics of Acute bacterial meningitis.,condition-specific,condition-specific,"Acute fever, meningismus, and altered mental status with neutrophilic CSF, high protein, and low glucose require immediate empiric antimicrobial therapy. Here, 'Neutrophilic CSF' is interpreted as an explicit disease-level finding.",'Neutrophilic CSF' helps distinguish Acute bacterial meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-498408D08D4C,DIS-NEUR-062,FND-NEUR-LYMPHOCYTICCSF,present,supportive,Timing and phenotype determine sensitivity of lymphocytic csf in Acute bacterial meningitis.,Lymphocytic CSF is interpreted against the disease-specific mimics of Acute bacterial meningitis.,condition-specific,condition-specific,"Acute fever, meningismus, and altered mental status with neutrophilic CSF, high protein, and low glucose require immediate empiric antimicrobial therapy. Here, 'Lymphocytic CSF' is interpreted as an explicit disease-level finding.",'Lymphocytic CSF' helps distinguish Acute bacterial meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-C6B45DB02B8F,DIS-NEUR-062,FND-NEUR-LOWCSFGLUCOSE,present,supportive,Timing and phenotype determine sensitivity of low csf glucose in Acute bacterial meningitis.,Low CSF glucose is interpreted against the disease-specific mimics of Acute bacterial meningitis.,condition-specific,condition-specific,"Acute fever, meningismus, and altered mental status with neutrophilic CSF, high protein, and low glucose require immediate empiric antimicrobial therapy. Here, 'Low CSF glucose' is interpreted as an explicit disease-level finding.",'Low CSF glucose' helps distinguish Acute bacterial meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-1A6FCE381961,DIS-NEUR-062,FND-NEUR-TEMPORALLOBEABNORMAL,present,supportive,Timing and phenotype determine sensitivity of temporal-lobe abnormalities in Acute bacterial meningitis.,Temporal-lobe abnormalities is interpreted against the disease-specific mimics of Acute bacterial meningitis.,condition-specific,condition-specific,"Acute fever, meningismus, and altered mental status with neutrophilic CSF, high protein, and low glucose require immediate empiric antimicrobial therapy. Here, 'Temporal-lobe abnormalities' is interpreted as an explicit disease-level finding.",'Temporal-lobe abnormalities' helps distinguish Acute bacterial meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-72BCF486FECD,DIS-NEUR-062,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Acute bacterial meningitis.,Elevated opening pressure is interpreted against the disease-specific mimics of Acute bacterial meningitis.,condition-specific,condition-specific,"Acute fever, meningismus, and altered mental status with neutrophilic CSF, high protein, and low glucose require immediate empiric antimicrobial therapy. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Acute bacterial meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-A4EF5CB3F7E1,DIS-NEUR-063,FND-NEUR-MENINGISMUS,present,classic,Timing and phenotype determine sensitivity of meningismus in Viral meningitis.,Meningismus is interpreted against the disease-specific mimics of Viral meningitis.,condition-specific,condition-specific,"Headache, fever, and lymphocytic CSF with relatively preserved glucose favor viral meningitis after bacterial disease is addressed. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Viral meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-34797729A10A,DIS-NEUR-063,FND-NEUR-NEUTROPHILICCSF,present,supportive,Timing and phenotype determine sensitivity of neutrophilic csf in Viral meningitis.,Neutrophilic CSF is interpreted against the disease-specific mimics of Viral meningitis.,condition-specific,condition-specific,"Headache, fever, and lymphocytic CSF with relatively preserved glucose favor viral meningitis after bacterial disease is addressed. Here, 'Neutrophilic CSF' is interpreted as an explicit disease-level finding.",'Neutrophilic CSF' helps distinguish Viral meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-D8298CC813A1,DIS-NEUR-063,FND-NEUR-LYMPHOCYTICCSF,present,supportive,Timing and phenotype determine sensitivity of lymphocytic csf in Viral meningitis.,Lymphocytic CSF is interpreted against the disease-specific mimics of Viral meningitis.,condition-specific,condition-specific,"Headache, fever, and lymphocytic CSF with relatively preserved glucose favor viral meningitis after bacterial disease is addressed. Here, 'Lymphocytic CSF' is interpreted as an explicit disease-level finding.",'Lymphocytic CSF' helps distinguish Viral meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-A3B82E354412,DIS-NEUR-063,FND-NEUR-LOWCSFGLUCOSE,present,supportive,Timing and phenotype determine sensitivity of low csf glucose in Viral meningitis.,Low CSF glucose is interpreted against the disease-specific mimics of Viral meningitis.,condition-specific,condition-specific,"Headache, fever, and lymphocytic CSF with relatively preserved glucose favor viral meningitis after bacterial disease is addressed. Here, 'Low CSF glucose' is interpreted as an explicit disease-level finding.",'Low CSF glucose' helps distinguish Viral meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-63F2BA1632FA,DIS-NEUR-063,FND-NEUR-TEMPORALLOBEABNORMAL,present,supportive,Timing and phenotype determine sensitivity of temporal-lobe abnormalities in Viral meningitis.,Temporal-lobe abnormalities is interpreted against the disease-specific mimics of Viral meningitis.,condition-specific,condition-specific,"Headache, fever, and lymphocytic CSF with relatively preserved glucose favor viral meningitis after bacterial disease is addressed. Here, 'Temporal-lobe abnormalities' is interpreted as an explicit disease-level finding.",'Temporal-lobe abnormalities' helps distinguish Viral meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-2FF09D714667,DIS-NEUR-063,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Viral meningitis.,Elevated opening pressure is interpreted against the disease-specific mimics of Viral meningitis.,condition-specific,condition-specific,"Headache, fever, and lymphocytic CSF with relatively preserved glucose favor viral meningitis after bacterial disease is addressed. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Viral meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-D63173875C78,DIS-NEUR-064,FND-NEUR-MENINGISMUS,present,classic,Timing and phenotype determine sensitivity of meningismus in Tuberculous meningitis.,Meningismus is interpreted against the disease-specific mimics of Tuberculous meningitis.,condition-specific,condition-specific,"Subacute basilar meningitis with cranial neuropathies, lymphocytic CSF, high protein, and low glucose suggests tuberculous meningitis. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Tuberculous meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-2C54317647C8,DIS-NEUR-064,FND-NEUR-NEUTROPHILICCSF,present,supportive,Timing and phenotype determine sensitivity of neutrophilic csf in Tuberculous meningitis.,Neutrophilic CSF is interpreted against the disease-specific mimics of Tuberculous meningitis.,condition-specific,condition-specific,"Subacute basilar meningitis with cranial neuropathies, lymphocytic CSF, high protein, and low glucose suggests tuberculous meningitis. Here, 'Neutrophilic CSF' is interpreted as an explicit disease-level finding.",'Neutrophilic CSF' helps distinguish Tuberculous meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-64DE89AF2482,DIS-NEUR-064,FND-NEUR-LYMPHOCYTICCSF,present,supportive,Timing and phenotype determine sensitivity of lymphocytic csf in Tuberculous meningitis.,Lymphocytic CSF is interpreted against the disease-specific mimics of Tuberculous meningitis.,condition-specific,condition-specific,"Subacute basilar meningitis with cranial neuropathies, lymphocytic CSF, high protein, and low glucose suggests tuberculous meningitis. Here, 'Lymphocytic CSF' is interpreted as an explicit disease-level finding.",'Lymphocytic CSF' helps distinguish Tuberculous meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-1A5E7E17CB08,DIS-NEUR-064,FND-NEUR-LOWCSFGLUCOSE,present,supportive,Timing and phenotype determine sensitivity of low csf glucose in Tuberculous meningitis.,Low CSF glucose is interpreted against the disease-specific mimics of Tuberculous meningitis.,condition-specific,condition-specific,"Subacute basilar meningitis with cranial neuropathies, lymphocytic CSF, high protein, and low glucose suggests tuberculous meningitis. Here, 'Low CSF glucose' is interpreted as an explicit disease-level finding.",'Low CSF glucose' helps distinguish Tuberculous meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-716D044F3DB0,DIS-NEUR-064,FND-NEUR-TEMPORALLOBEABNORMAL,present,supportive,Timing and phenotype determine sensitivity of temporal-lobe abnormalities in Tuberculous meningitis.,Temporal-lobe abnormalities is interpreted against the disease-specific mimics of Tuberculous meningitis.,condition-specific,condition-specific,"Subacute basilar meningitis with cranial neuropathies, lymphocytic CSF, high protein, and low glucose suggests tuberculous meningitis. Here, 'Temporal-lobe abnormalities' is interpreted as an explicit disease-level finding.",'Temporal-lobe abnormalities' helps distinguish Tuberculous meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-E9453869D497,DIS-NEUR-064,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Tuberculous meningitis.,Elevated opening pressure is interpreted against the disease-specific mimics of Tuberculous meningitis.,condition-specific,condition-specific,"Subacute basilar meningitis with cranial neuropathies, lymphocytic CSF, high protein, and low glucose suggests tuberculous meningitis. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Tuberculous meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-9EB3067D2A97,DIS-NEUR-065,FND-NEUR-MENINGISMUS,present,classic,Timing and phenotype determine sensitivity of meningismus in Cryptococcal meningitis.,Meningismus is interpreted against the disease-specific mimics of Cryptococcal meningitis.,condition-specific,condition-specific,"Subacute headache in advanced immunocompromise with markedly elevated opening pressure and cryptococcal antigen requires antifungal treatment and pressure control. Here, 'Meningismus' is interpreted as an explicit disease-level finding.",'Meningismus' helps distinguish Cryptococcal meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-8136DB541F21,DIS-NEUR-065,FND-NEUR-NEUTROPHILICCSF,present,supportive,Timing and phenotype determine sensitivity of neutrophilic csf in Cryptococcal meningitis.,Neutrophilic CSF is interpreted against the disease-specific mimics of Cryptococcal meningitis.,condition-specific,condition-specific,"Subacute headache in advanced immunocompromise with markedly elevated opening pressure and cryptococcal antigen requires antifungal treatment and pressure control. Here, 'Neutrophilic CSF' is interpreted as an explicit disease-level finding.",'Neutrophilic CSF' helps distinguish Cryptococcal meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-6401769A0012,DIS-NEUR-065,FND-NEUR-LYMPHOCYTICCSF,present,supportive,Timing and phenotype determine sensitivity of lymphocytic csf in Cryptococcal meningitis.,Lymphocytic CSF is interpreted against the disease-specific mimics of Cryptococcal meningitis.,condition-specific,condition-specific,"Subacute headache in advanced immunocompromise with markedly elevated opening pressure and cryptococcal antigen requires antifungal treatment and pressure control. Here, 'Lymphocytic CSF' is interpreted as an explicit disease-level finding.",'Lymphocytic CSF' helps distinguish Cryptococcal meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-7BB9136F10E6,DIS-NEUR-065,FND-NEUR-LOWCSFGLUCOSE,present,supportive,Timing and phenotype determine sensitivity of low csf glucose in Cryptococcal meningitis.,Low CSF glucose is interpreted against the disease-specific mimics of Cryptococcal meningitis.,condition-specific,condition-specific,"Subacute headache in advanced immunocompromise with markedly elevated opening pressure and cryptococcal antigen requires antifungal treatment and pressure control. Here, 'Low CSF glucose' is interpreted as an explicit disease-level finding.",'Low CSF glucose' helps distinguish Cryptococcal meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-A9D0B1FAF9D2,DIS-NEUR-065,FND-NEUR-TEMPORALLOBEABNORMAL,present,supportive,Timing and phenotype determine sensitivity of temporal-lobe abnormalities in Cryptococcal meningitis.,Temporal-lobe abnormalities is interpreted against the disease-specific mimics of Cryptococcal meningitis.,condition-specific,condition-specific,"Subacute headache in advanced immunocompromise with markedly elevated opening pressure and cryptococcal antigen requires antifungal treatment and pressure control. Here, 'Temporal-lobe abnormalities' is interpreted as an explicit disease-level finding.",'Temporal-lobe abnormalities' helps distinguish Cryptococcal meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
DNF-NEUR-05DA0E11C1E1,DIS-NEUR-065,FND-NEUR-ELEVATEDOPENINGPRESS,present,supportive,Timing and phenotype determine sensitivity of elevated opening pressure in Cryptococcal meningitis.,Elevated opening pressure is interpreted against the disease-specific mimics of Cryptococcal meningitis.,condition-specific,condition-specific,"Subacute headache in advanced immunocompromise with markedly elevated opening pressure and cryptococcal antigen requires antifungal treatment and pressure control. Here, 'Elevated opening pressure' is interpreted as an explicit disease-level finding.",'Elevated opening pressure' helps distinguish Cryptococcal meningitis when evaluated with the actual onset and examination.,true,Step 1; Step 2 CK; Step 3,Neurology; Internal Medicine; Pediatrics; Emergency Medicine,unverified_ai_generated,supportive
