treatment_id,name,treatment_type,treatment_category,general_description,mechanism_summary,major_contraindications,monitoring_summary,pregnancy_context,pediatric_context,renal_context,hepatic_context,emergency_role,source_review_status,medical_review_status,deprecated,notes,source_status,human_review_status,content_tier
TRT-NEUR-E2E26E539E5C,Bracing and rehabilitation,intervention,neurology,Bracing and rehabilitation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-C80EF44B45E0,Cause identification and correction,intervention,neurology,Cause identification and correction is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-190B225B0FAB,Cause-directed treatment and driving counseling,intervention,neurology,Cause-directed treatment and driving counseling is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-2B3F1513C199,Cognitive and autonomic symptom management,intervention,neurology,Cognitive and autonomic symptom management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-271C14BE7E14,Cognitive symptom treatment when appropriate,intervention,neurology,Cognitive symptom treatment when appropriate is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-D0E726E17352,Continuous EEG and ICU disposition,intervention,neurology,Continuous EEG and ICU disposition is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-8AE89246DBDF,Continuous EEG for refractory or nonconvulsive status,intervention,neurology,Continuous EEG for refractory or nonconvulsive status is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-1A09D8E6EC16,Corticosteroids for symptomatic vasogenic edema when appropriate,intervention,neurology,Corticosteroids for symptomatic vasogenic edema when appropriate is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-9CC7855ADF77,DVT and pressure-injury prevention,intervention,neurology,DVT and pressure-injury prevention is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-76B43E7AE154,DVT prevention and rehabilitation,intervention,neurology,DVT prevention and rehabilitation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-9947E774FA5A,DVT prophylaxis and rehabilitation,intervention,neurology,DVT prophylaxis and rehabilitation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-7B868D5C5DA9,Developmental and multidisciplinary support,intervention,neurology,Developmental and multidisciplinary support is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-EC0AAF9902FA,Dexamethasone in appropriate bacterial meningitis context,intervention,neurology,Dexamethasone in appropriate bacterial meningitis context is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-DF21F7E744D5,Dexamethasone in appropriate context,intervention,neurology,Dexamethasone in appropriate context is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-3A63B80771A9,Disease-modifying or relapse-prevention therapy,intervention,neurology,Disease-modifying or relapse-prevention therapy is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-2356C45CEF1A,Disease-specific genetic or metabolic therapy when available,intervention,neurology,Disease-specific genetic or metabolic therapy when available is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-EC12D4E041AC,Dopaminergic or symptom-directed therapy,intervention,neurology,Dopaminergic or symptom-directed therapy is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-6CDB6420348C,Droplet precautions and public-health measures when indicated,intervention,neurology,Droplet precautions and public-health measures when indicated is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-C3E9E27F3036,Empiric antimicrobial therapy,intervention,neurology,Empiric antimicrobial therapy is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-A2097975BAC8,Fall and aspiration risk reduction,intervention,neurology,Fall and aspiration risk reduction is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-6A30054DD9B5,Fall prevention and skin care,intervention,neurology,Fall prevention and skin care is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-86540D5BF336,Family counseling and early-intervention referral,intervention,neurology,Family counseling and early-intervention referral is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-A4227450AF1A,"Feeding, respiratory, and mobility support",intervention,neurology,"Feeding, respiratory, and mobility support is linked only to its condition-specific treatment context.",Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-E0B95C293FB1,High-dose corticosteroids for disabling relapse,intervention,neurology,High-dose corticosteroids for disabling relapse is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-30EF857F40D3,Hydrocephalus management,intervention,neurology,Hydrocephalus management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-63C283A2B81A,ICU monitoring,intervention,neurology,ICU monitoring is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-A2895F0A920F,IVIG,intervention,neurology,IVIG is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-58AF2B66F70F,IVIG or plasma exchange,intervention,neurology,IVIG or plasma exchange is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-3B4276F99983,IVIG or plasma exchange when indicated,intervention,neurology,IVIG or plasma exchange when indicated is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-57A60B2F5C89,Immediate empiric antibiotics without unnecessary delay,intervention,neurology,Immediate empiric antibiotics without unnecessary delay is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-1F7032CC496B,Immediate empiric antimicrobial therapy when indicated,intervention,neurology,Immediate empiric antimicrobial therapy when indicated is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-33352EF701C8,Immediate intravenous acyclovir,intervention,neurology,Immediate intravenous acyclovir is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-FA181BE3178E,Immunotherapy for generalized disease,intervention,neurology,Immunotherapy for generalized disease is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-C6FB0AF54749,Intracranial-pressure and ICU support when severe,intervention,neurology,Intracranial-pressure and ICU support when severe is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-6B240E5583D0,Intracranial-pressure monitoring and specialty consultation,intervention,neurology,Intracranial-pressure monitoring and specialty consultation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-75FDE04C7FEB,Mechanical thrombectomy evaluation,intervention,neurology,Mechanical thrombectomy evaluation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-49A0057E80F0,Mechanism-specific immunotherapy,intervention,neurology,Mechanism-specific immunotherapy is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-8680736D385B,Medication review including acetylcholinesterase management,intervention,neurology,Medication review including acetylcholinesterase management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-EAA0C616C3C9,Mobility and fall prevention,intervention,neurology,Mobility and fall prevention is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-DFADDF01C912,Neuropathic pain and dysautonomia management,intervention,neurology,Neuropathic pain and dysautonomia management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-54F0F334B40C,Neuropathic pain management,intervention,neurology,Neuropathic pain management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-8D0FCF98267F,Neurosurgical consultation and resection planning,intervention,neurology,Neurosurgical consultation and resection planning is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-8DF5D70B03FA,Neurosurgical source control,intervention,neurology,Neurosurgical source control is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-A1455BF9F707,Nimodipine and delayed-cerebral-ischemia monitoring,intervention,neurology,Nimodipine and delayed-cerebral-ischemia monitoring is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-536381527AB4,"Physical, occupational, and speech therapy",intervention,neurology,"Physical, occupational, and speech therapy is linked only to its condition-specific treatment context.",Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-F7FAD099C1F1,Plasma exchange,intervention,neurology,Plasma exchange is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-60AF29D6FD97,Plasma exchange for steroid-refractory severe relapse,intervention,neurology,Plasma exchange for steroid-refractory severe relapse is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-9E3E33D317A1,Preventive therapy and trigger modification,intervention,neurology,Preventive therapy and trigger modification is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-BB41C4BE5665,Pyridostigmine for symptomatic control,intervention,neurology,Pyridostigmine for symptomatic control is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-1390AF1F26F1,Radiation or systemic oncologic therapy,intervention,neurology,Radiation or systemic oncologic therapy is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-6D068BF3EB43,Raised-intracranial-pressure management,intervention,neurology,Raised-intracranial-pressure management is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-B4F2CC2851EC,Red-flag stabilization and secondary-headache exclusion,intervention,neurology,Red-flag stabilization and secondary-headache exclusion is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-F57B4081BD3D,Refractory-status anesthetic escalation,intervention,neurology,Refractory-status anesthetic escalation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-508804898C8F,Rehabilitation and mobility planning,intervention,neurology,Rehabilitation and mobility planning is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-F465060F1C65,Rehabilitation and palliative-support planning,intervention,neurology,Rehabilitation and palliative-support planning is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-562F64A50F3D,Remove or modify causative dopamine-blocking medication,intervention,neurology,Remove or modify causative dopamine-blocking medication is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-DE72CB35A096,Reperfusion eligibility evaluation,intervention,neurology,Reperfusion eligibility evaluation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-02AC15983D01,Respiratory monitoring and crisis escalation,intervention,neurology,Respiratory monitoring and crisis escalation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-C69F32EC7BC6,Respiratory monitoring and critical-care escalation,intervention,neurology,Respiratory monitoring and critical-care escalation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-0637C3B86CAD,"Safety, caregiver, and driving assessment",intervention,neurology,"Safety, caregiver, and driving assessment is linked only to its condition-specific treatment context.",Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-BE07DBFB4E87,Second-line antiseizure medication,intervention,neurology,Second-line antiseizure medication is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-5E24934D8C64,Seizure safety and airway protection,intervention,neurology,Seizure safety and airway protection is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-CD908976B276,Seizure treatment and EEG monitoring,intervention,neurology,Seizure treatment and EEG monitoring is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-BCA060253E5E,Seizure treatment when clinically indicated,intervention,neurology,Seizure treatment when clinically indicated is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-B23048C0044C,Seizure treatment when indicated,intervention,neurology,Seizure treatment when indicated is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-D077D1714799,Source control or drainage for brain abscess,intervention,neurology,Source control or drainage for brain abscess is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-555CD2FAA63C,Specialty referral for refractory or secondary disease,intervention,neurology,Specialty referral for refractory or secondary disease is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-2875530C41F3,Spinal-cord protection and hemodynamic support,intervention,neurology,Spinal-cord protection and hemodynamic support is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-FB0CF3EABDEB,Stroke-unit stabilization and swallow screening,intervention,neurology,Stroke-unit stabilization and swallow screening is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-20156E4AE811,Symptom management and rehabilitation,intervention,neurology,Symptom management and rehabilitation is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-581BD2235311,Targeted acute headache treatment,intervention,neurology,Targeted acute headache treatment is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
TRT-NEUR-4708217C0EA9,Thymectomy evaluation when appropriate,intervention,neurology,Thymectomy evaluation when appropriate is linked only to its condition-specific treatment context.,Mechanism and sequence are specified on disease-treatment links.,Use linked contraindication and safety context.,Use linked monitoring and disposition context.,,,,,condition-specific,draft_ai_generated,draft_ai_generated,false,Neurology phase-2 topic-specific educational record.,unverified_ai_generated,not_requested,expanded
